group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
get_bench,kvs,16,,,1177905.0,ns,324
get_bench,kvs,16,,,2295155.0,ns,648
get_bench,kvs,16,,,3323248.0,ns,972
get_bench,kvs,16,,,4336224.0,ns,1296
get_bench,kvs,16,,,5197826.0,ns,1620
get_bench,kvs,16,,,6057385.0,ns,1944
get_bench,kvs,16,,,7003503.0,ns,2268
get_bench,kvs,16,,,8176961.0,ns,2592
get_bench,kvs,16,,,9035159.0,ns,2916
get_bench,kvs,16,,,10309558.0,ns,3240
get_bench,kvs,16,,,10955765.0,ns,3564
get_bench,kvs,16,,,12126346.0,ns,3888
get_bench,kvs,16,,,13304876.0,ns,4212
get_bench,kvs,16,,,13985721.0,ns,4536
get_bench,kvs,16,,,14912251.0,ns,4860
get_bench,kvs,16,,,15897615.0,ns,5184
get_bench,kvs,16,,,17097574.0,ns,5508
get_bench,kvs,16,,,17740216.0,ns,5832
get_bench,kvs,16,,,18778739.0,ns,6156
get_bench,kvs,16,,,19708647.0,ns,6480
get_bench,kvs,16,,,20938266.0,ns,6804
get_bench,kvs,16,,,21953061.0,ns,7128
get_bench,kvs,16,,,22733091.0,ns,7452
get_bench,kvs,16,,,23662992.0,ns,7776
get_bench,kvs,16,,,25588461.0,ns,8100
get_bench,kvs,16,,,25728857.0,ns,8424
get_bench,kvs,16,,,26565930.0,ns,8748
get_bench,kvs,16,,,27341803.0,ns,9072
get_bench,kvs,16,,,28805353.0,ns,9396
get_bench,kvs,16,,,29298784.0,ns,9720
get_bench,kvs,16,,,30477706.0,ns,10044
get_bench,kvs,16,,,31871828.0,ns,10368
get_bench,kvs,16,,,32846834.0,ns,10692
get_bench,kvs,16,,,33371852.0,ns,11016
get_bench,kvs,16,,,34358834.0,ns,11340
get_bench,kvs,16,,,35625580.0,ns,11664
get_bench,kvs,16,,,36707937.0,ns,11988
get_bench,kvs,16,,,37148947.0,ns,12312
get_bench,kvs,16,,,38474990.0,ns,12636
get_bench,kvs,16,,,39204451.0,ns,12960
get_bench,kvs,16,,,41230734.0,ns,13284
get_bench,kvs,16,,,41504794.0,ns,13608
get_bench,kvs,16,,,42619998.0,ns,13932
get_bench,kvs,16,,,43024273.0,ns,14256
get_bench,kvs,16,,,44643142.0,ns,14580
get_bench,kvs,16,,,45641136.0,ns,14904
get_bench,kvs,16,,,46171641.0,ns,15228
get_bench,kvs,16,,,47473341.0,ns,15552
get_bench,kvs,16,,,48749416.0,ns,15876
get_bench,kvs,16,,,49336315.0,ns,16200
get_bench,kvs,16,,,50667914.0,ns,16524
get_bench,kvs,16,,,51042484.0,ns,16848
get_bench,kvs,16,,,52257912.0,ns,17172
get_bench,kvs,16,,,53126320.0,ns,17496
get_bench,kvs,16,,,55415412.0,ns,17820
get_bench,kvs,16,,,55664212.0,ns,18144
get_bench,kvs,16,,,57527814.0,ns,18468
get_bench,kvs,16,,,57106960.0,ns,18792
get_bench,kvs,16,,,58153534.0,ns,19116
get_bench,kvs,16,,,58510841.0,ns,19440
get_bench,kvs,16,,,60100299.0,ns,19764
get_bench,kvs,16,,,61764097.0,ns,20088
get_bench,kvs,16,,,63049193.0,ns,20412
get_bench,kvs,16,,,62862548.0,ns,20736
get_bench,kvs,16,,,63929275.0,ns,21060
get_bench,kvs,16,,,66933846.0,ns,21384
get_bench,kvs,16,,,66696576.0,ns,21708
get_bench,kvs,16,,,67752398.0,ns,22032
get_bench,kvs,16,,,67975343.0,ns,22356
get_bench,kvs,16,,,69498976.0,ns,22680
get_bench,kvs,16,,,69377923.0,ns,23004
get_bench,kvs,16,,,71076789.0,ns,23328
get_bench,kvs,16,,,72555470.0,ns,23652
get_bench,kvs,16,,,72833436.0,ns,23976
get_bench,kvs,16,,,73470110.0,ns,24300
get_bench,kvs,16,,,74554689.0,ns,24624
get_bench,kvs,16,,,76614702.0,ns,24948
get_bench,kvs,16,,,76380679.0,ns,25272
get_bench,kvs,16,,,78704692.0,ns,25596
get_bench,kvs,16,,,79556171.0,ns,25920
get_bench,kvs,16,,,80491675.0,ns,26244
get_bench,kvs,16,,,81191433.0,ns,26568
get_bench,kvs,16,,,83308443.0,ns,26892
get_bench,kvs,16,,,82972267.0,ns,27216
get_bench,kvs,16,,,83758363.0,ns,27540
get_bench,kvs,16,,,85159503.0,ns,27864
get_bench,kvs,16,,,86199388.0,ns,28188
get_bench,kvs,16,,,87024337.0,ns,28512
get_bench,kvs,16,,,87697941.0,ns,28836
get_bench,kvs,16,,,88105101.0,ns,29160
get_bench,kvs,16,,,89824142.0,ns,29484
get_bench,kvs,16,,,90205060.0,ns,29808
get_bench,kvs,16,,,92716393.0,ns,30132
get_bench,kvs,16,,,91856364.0,ns,30456
get_bench,kvs,16,,,93890704.0,ns,30780
get_bench,kvs,16,,,94912603.0,ns,31104
get_bench,kvs,16,,,96132280.0,ns,31428
get_bench,kvs,16,,,96716553.0,ns,31752
get_bench,kvs,16,,,97129709.0,ns,32076
get_bench,kvs,16,,,98536114.0,ns,32400
