group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
get_bench,sled,8,,,1622224.0,ns,1560
get_bench,sled,8,,,3451674.0,ns,3120
get_bench,sled,8,,,2723484.0,ns,4680
get_bench,sled,8,,,4656438.0,ns,6240
get_bench,sled,8,,,6940283.0,ns,7800
get_bench,sled,8,,,5578080.0,ns,9360
get_bench,sled,8,,,6941390.0,ns,10920
get_bench,sled,8,,,8110072.0,ns,12480
get_bench,sled,8,,,14052357.0,ns,14040
get_bench,sled,8,,,9342502.0,ns,15600
get_bench,sled,8,,,14835375.0,ns,17160
get_bench,sled,8,,,13275629.0,ns,18720
get_bench,sled,8,,,15667747.0,ns,20280
get_bench,sled,8,,,24346620.0,ns,21840
get_bench,sled,8,,,17928834.0,ns,23400
get_bench,sled,8,,,15148377.0,ns,24960
get_bench,sled,8,,,18356178.0,ns,26520
get_bench,sled,8,,,15941586.0,ns,28080
get_bench,sled,8,,,16565930.0,ns,29640
get_bench,sled,8,,,21631148.0,ns,31200
get_bench,sled,8,,,36879236.0,ns,32760
get_bench,sled,8,,,20971215.0,ns,34320
get_bench,sled,8,,,25223275.0,ns,35880
get_bench,sled,8,,,32820273.0,ns,37440
get_bench,sled,8,,,25962569.0,ns,39000
get_bench,sled,8,,,24462866.0,ns,40560
get_bench,sled,8,,,23045122.0,ns,42120
get_bench,sled,8,,,27109453.0,ns,43680
get_bench,sled,8,,,35188279.0,ns,45240
get_bench,sled,8,,,33907020.0,ns,46800
get_bench,sled,8,,,26569146.0,ns,48360
get_bench,sled,8,,,27324694.0,ns,49920
get_bench,sled,8,,,28899021.0,ns,51480
get_bench,sled,8,,,42104508.0,ns,53040
get_bench,sled,8,,,41459081.0,ns,54600
get_bench,sled,8,,,37567632.0,ns,56160
get_bench,sled,8,,,41678654.0,ns,57720
get_bench,sled,8,,,39230391.0,ns,59280
get_bench,sled,8,,,37912214.0,ns,60840
get_bench,sled,8,,,42371566.0,ns,62400
get_bench,sled,8,,,58934898.0,ns,63960
get_bench,sled,8,,,49290622.0,ns,65520
get_bench,sled,8,,,45253818.0,ns,67080
get_bench,sled,8,,,48875136.0,ns,68640
get_bench,sled,8,,,49900050.0,ns,70200
get_bench,sled,8,,,47034312.0,ns,71760
get_bench,sled,8,,,48964145.0,ns,73320
get_bench,sled,8,,,51582880.0,ns,74880
get_bench,sled,8,,,51292877.0,ns,76440
get_bench,sled,8,,,53456269.0,ns,78000
get_bench,sled,8,,,77999616.0,ns,79560
get_bench,sled,8,,,59406616.0,ns,81120
get_bench,sled,8,,,55536874.0,ns,82680
get_bench,sled,8,,,61927969.0,ns,84240
get_bench,sled,8,,,52075545.0,ns,85800
get_bench,sled,8,,,73686735.0,ns,87360
get_bench,sled,8,,,56498827.0,ns,88920
get_bench,sled,8,,,57654735.0,ns,90480
get_bench,sled,8,,,60456940.0,ns,92040
get_bench,sled,8,,,59512556.0,ns,93600
get_bench,sled,8,,,58630299.0,ns,95160
get_bench,sled,8,,,59447791.0,ns,96720
get_bench,sled,8,,,60756809.0,ns,98280
get_bench,sled,8,,,61805326.0,ns,99840
get_bench,sled,8,,,66747197.0,ns,101400
get_bench,sled,8,,,65794385.0,ns,102960
get_bench,sled,8,,,65439973.0,ns,104520
get_bench,sled,8,,,62281943.0,ns,106080
get_bench,sled,8,,,66160753.0,ns,107640
get_bench,sled,8,,,67789256.0,ns,109200
get_bench,sled,8,,,67797587.0,ns,110760
get_bench,sled,8,,,87708893.0,ns,112320
get_bench,sled,8,,,90187458.0,ns,113880
get_bench,sled,8,,,77341779.0,ns,115440
get_bench,sled,8,,,72800109.0,ns,117000
get_bench,sled,8,,,104600962.0,ns,118560
get_bench,sled,8,,,107854998.0,ns,120120
get_bench,sled,8,,,75214631.0,ns,121680
get_bench,sled,8,,,75388290.0,ns,123240
get_bench,sled,8,,,83284008.0,ns,124800
get_bench,sled,8,,,77649509.0,ns,126360
get_bench,sled,8,,,78720116.0,ns,127920
get_bench,sled,8,,,92821810.0,ns,129480
get_bench,sled,8,,,79362382.0,ns,131040
get_bench,sled,8,,,80697039.0,ns,132600
get_bench,sled,8,,,88366368.0,ns,134160
get_bench,sled,8,,,82511343.0,ns,135720
get_bench,sled,8,,,91318471.0,ns,137280
get_bench,sled,8,,,91819188.0,ns,138840
get_bench,sled,8,,,90074774.0,ns,140400
get_bench,sled,8,,,103360617.0,ns,141960
get_bench,sled,8,,,99148805.0,ns,143520
get_bench,sled,8,,,88667277.0,ns,145080
get_bench,sled,8,,,85982025.0,ns,146640
get_bench,sled,8,,,87756194.0,ns,148200
get_bench,sled,8,,,91862005.0,ns,149760
get_bench,sled,8,,,111037025.0,ns,151320
get_bench,sled,8,,,115095437.0,ns,152880
get_bench,sled,8,,,127212430.0,ns,154440
get_bench,sled,8,,,133238524.0,ns,156000
