group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
set_bench,kvs,,,,6459032.0,ns,1
set_bench,kvs,,,,12619833.0,ns,2
set_bench,kvs,,,,18731516.0,ns,3
set_bench,kvs,,,,25680413.0,ns,4
set_bench,kvs,,,,31721427.0,ns,5
set_bench,kvs,,,,37613781.0,ns,6
set_bench,kvs,,,,43954644.0,ns,7
set_bench,kvs,,,,50217586.0,ns,8
set_bench,kvs,,,,57363652.0,ns,9
set_bench,kvs,,,,62907009.0,ns,10
set_bench,kvs,,,,69030944.0,ns,11
set_bench,kvs,,,,75509249.0,ns,12
set_bench,kvs,,,,81528911.0,ns,13
set_bench,kvs,,,,87620341.0,ns,14
set_bench,kvs,,,,96020316.0,ns,15
set_bench,kvs,,,,102315318.0,ns,16
set_bench,kvs,,,,107789791.0,ns,17
set_bench,kvs,,,,114619837.0,ns,18
set_bench,kvs,,,,119607893.0,ns,19
set_bench,kvs,,,,126300830.0,ns,20
set_bench,kvs,,,,133150529.0,ns,21
set_bench,kvs,,,,138486091.0,ns,22
set_bench,kvs,,,,143769108.0,ns,23
set_bench,kvs,,,,150848829.0,ns,24
set_bench,kvs,,,,158315310.0,ns,25
set_bench,kvs,,,,163736729.0,ns,26
set_bench,kvs,,,,169035391.0,ns,27
set_bench,kvs,,,,174894924.0,ns,28
set_bench,kvs,,,,181185004.0,ns,29
set_bench,kvs,,,,188339771.0,ns,30
set_bench,kvs,,,,193871252.0,ns,31
set_bench,kvs,,,,201529876.0,ns,32
set_bench,kvs,,,,206572226.0,ns,33
set_bench,kvs,,,,212313156.0,ns,34
set_bench,kvs,,,,218682171.0,ns,35
set_bench,kvs,,,,224940367.0,ns,36
set_bench,kvs,,,,231243186.0,ns,37
set_bench,kvs,,,,237480115.0,ns,38
set_bench,kvs,,,,244116188.0,ns,39
set_bench,kvs,,,,250443227.0,ns,40
set_bench,kvs,,,,256455395.0,ns,41
set_bench,kvs,,,,262304961.0,ns,42
set_bench,kvs,,,,269582159.0,ns,43
set_bench,kvs,,,,277697118.0,ns,44
set_bench,kvs,,,,282234318.0,ns,45
set_bench,kvs,,,,288975638.0,ns,46
set_bench,kvs,,,,295093647.0,ns,47
set_bench,kvs,,,,300394640.0,ns,48
set_bench,kvs,,,,305794712.0,ns,49
set_bench,kvs,,,,312639955.0,ns,50
set_bench,kvs,,,,320965232.0,ns,51
set_bench,kvs,,,,325803004.0,ns,52
set_bench,kvs,,,,332873446.0,ns,53
set_bench,kvs,,,,337840894.0,ns,54
set_bench,kvs,,,,343658130.0,ns,55
set_bench,kvs,,,,349886611.0,ns,56
set_bench,kvs,,,,356603803.0,ns,57
set_bench,kvs,,,,365393748.0,ns,58
set_bench,kvs,,,,370361178.0,ns,59
set_bench,kvs,,,,377933567.0,ns,60
set_bench,kvs,,,,382743190.0,ns,61
set_bench,kvs,,,,388096461.0,ns,62
set_bench,kvs,,,,393373792.0,ns,63
set_bench,kvs,,,,400946393.0,ns,64
set_bench,kvs,,,,407561897.0,ns,65
set_bench,kvs,,,,413957711.0,ns,66
set_bench,kvs,,,,421108259.0,ns,67
set_bench,kvs,,,,439033165.0,ns,68
set_bench,kvs,,,,431328048.0,ns,69
set_bench,kvs,,,,440333827.0,ns,70
set_bench,kvs,,,,445725693.0,ns,71
set_bench,kvs,,,,453178668.0,ns,72
set_bench,kvs,,,,459873355.0,ns,73
set_bench,kvs,,,,465340068.0,ns,74
set_bench,kvs,,,,472895072.0,ns,75
set_bench,kvs,,,,478748488.0,ns,76
set_bench,kvs,,,,492157774.0,ns,77
set_bench,kvs,,,,492158377.0,ns,78
set_bench,kvs,,,,496378079.0,ns,79
set_bench,kvs,,,,504105515.0,ns,80
set_bench,kvs,,,,512871080.0,ns,81
set_bench,kvs,,,,516759264.0,ns,82
set_bench,kvs,,,,521179920.0,ns,83
set_bench,kvs,,,,526980057.0,ns,84
set_bench,kvs,,,,532242894.0,ns,85
set_bench,kvs,,,,539182638.0,ns,86
set_bench,kvs,,,,551527654.0,ns,87
set_bench,kvs,,,,556750827.0,ns,88
set_bench,kvs,,,,563160738.0,ns,89
set_bench,kvs,,,,566224057.0,ns,90
set_bench,kvs,,,,575722951.0,ns,91
set_bench,kvs,,,,577795251.0,ns,92
set_bench,kvs,,,,596957623.0,ns,93
set_bench,kvs,,,,605042434.0,ns,94
set_bench,kvs,,,,604753498.0,ns,95
set_bench,kvs,,,,609077436.0,ns,96
set_bench,kvs,,,,630503586.0,ns,97
set_bench,kvs,,,,1190501409.0,ns,98
set_bench,kvs,,,,1225373545.0,ns,99
set_bench,kvs,,,,1242362155.0,ns,100
